"cont","accX","accY","accZ","gyroX","gyroY","gyroZ","millis","id"
6669,8190,6646,-458,-840,6333,-3464,798945,"1"
6670,8224,6352,-568,-657,6031,-2957,798955,"1"
6666,11262,13398,-162,3696,8476,-1954,806440,"2"
6667,11224,13476,234,2990,8537,-1654,806450,"2"
6668,11236,13520,624,2280,8554,-1391,806460,"2"
6669,11392,13572,1046,1508,8353,-966,806470,"2"
6670,11498,13322,1348,921,7906,-714,806480,"2"
6671,8274,6156,-578,-592,5644,-2492,798965,"1"
6672,8210,5966,-532,-558,5252,-2056,798975,"1"
6673,8136,5854,-540,-570,4961,-1649,798985,"1"
6674,8212,5900,-612,-515,4690,-1314,798995,"1"
6675,8178,5764,-702,-485,4348,-924,799005,"1"
6671,11614,13256,1676,579,7253,-521,806490,"2"
6672,11678,13214,1952,480,6557,-287,806500,"2"
6673,11830,13204,2100,500,5769,-67,806510,"2"
6674,11886,13202,2160,613,4881,143,806520,"2"
6675,11854,13238,2210,747,4012,371,806530,"2"
6676,8286,5748,-778,-291,4004,-561,799015,"1"
6677,8314,5722,-858,-72,3608,-218,799025,"1"
6678,8328,5764,-1034,153,3151,186,799035,"1"
6679,8488,5766,-1152,339,2685,523,799045,"1"
6680,8546,5774,-1146,481,2186,916,799055,"1"
6676,11876,13148,2130,975,3158,550,806540,"2"
6677,11910,12946,2158,1273,2308,673,806550,"2"
6678,11782,12702,2096,1515,1345,693,806560,"2"
6679,11466,12424,2030,1710,365,523,806570,"2"
6680,11170,12236,1902,1656,-570,319,806580,"2"
6681,8836,5684,-934,656,1676,1587,799065,"1"
6682,9386,5588,-476,934,1132,2473,799075,"1"
6683,9834,5702,-148,1089,360,3301,799085,"1"
6684,10168,5820,384,1080,-424,4051,799095,"1"
6685,10498,6080,1006,947,-1160,4676,799105,"1"
6681,10720,12374,1804,1174,-1344,200,806590,"2"
6682,10416,12582,1658,505,-1956,84,806600,"2"
6683,10078,12852,1500,-256,-2445,27,806610,"2"
6684,9664,13142,1336,-1000,-2874,-105,806620,"2"
6685,9216,13386,1272,-1575,-3355,-298,806630,"2"
6686,11014,6486,1696,817,-2006,5103,799115,"1"
6687,11352,6840,2224,740,-2726,5036,799125,"1"
6688,11354,6950,2564,423,-3812,5228,799135,"1"
6689,11526,7058,3066,202,-4725,6165,799145,"1"
6690,11190,6924,3098,379,-5573,7138,799155,"1"
6686,8880,13686,1278,-2108,-3710,-465,806640,"2"
6687,8636,14082,1032,-2715,-3949,-522,806650,"2"
6688,8530,14488,832,-3288,-4139,-613,806660,"2"
6689,8620,14724,918,-3737,-4268,-673,806670,"2"
6690,9116,14926,892,-4120,-4395,-636,806680,"2"
6691,10532,6998,2986,845,-6349,7959,799165,"1"
6692,10154,7390,2960,1282,-7135,8821,799175,"1"
6693,9500,7804,2902,1445,-8046,9594,799185,"1"
6694,9036,8206,3174,1549,-8912,10090,799195,"1"
6695,8758,8632,3666,1704,-9783,10051,799205,"1"
6691,9804,14954,880,-4459,-4631,-412,806690,"2"
6692,10576,14750,814,-4649,-5116,-78,806700,"2"
6693,11174,14546,616,-4709,-5836,343,806710,"2"
6694,11372,14356,586,-4724,-6638,689,806720,"2"
6695,11390,14172,308,-4781,-7386,1010,806730,"2"
6696,8382,9042,4160,1596,-10740,9573,799215,"1"
6697,8134,9516,4796,1249,-11689,8587,799225,"1"
6698,7920,9896,5384,810,-12578,7172,799235,"1"
6699,7398,10174,6042,446,-13578,5365,799245,"1"
6700,6666,10498,6636,-233,-14517,3307,799255,"1"
6696,11260,14004,-48,-4813,-8149,1208,806740,"2"
6697,11040,13838,-252,-4801,-8716,1301,806750,"2"
6698,10808,13644,-642,-4968,-9096,1484,806760,"2"
6699,10570,13614,-946,-5489,-9387,1705,806770,"2"
6700,10362,13568,-1310,-6261,-9387,1894,806780,"2"
6701,10178,13572,-1748,-7118,-9243,2108,806790,"2"
6702,10074,13656,-2020,-8347,-9052,2339,806800,"2"
6703,10046,13672,-2190,-9460,-8814,2523,806810,"2"
6704,10036,13720,-2508,-10411,-8548,2651,806820,"2"
6705,10172,13700,-2750,-11151,-8237,2719,806830,"2"
6701,6028,10412,7158,-1195,-15130,1135,799265,"1"
6702,5482,10006,7660,-1901,-15190,-657,799275,"1"
6703,5024,9568,7758,-2354,-14932,-2145,799285,"1"
6704,4790,9118,7666,-2647,-14392,-3153,799295,"1"
6705,4720,8688,7416,-2633,-13543,-3654,799305,"1"
6706,4674,8320,6800,-2164,-12302,-3699,799315,"1"
6707,4724,8014,6084,-1476,-10785,-3497,799325,"1"
6708,4918,7958,5530,-673,-9236,-2979,799335,"1"
6709,5200,7746,5106,329,-7773,-2200,799345,"1"
6710,5508,7466,4690,1520,-6354,-1024,799355,"1"
6706,10386,13726,-3044,-11741,-8002,2764,806840,"2"
6707,10590,13808,-3232,-12196,-7740,2702,806850,"2"
6708,10762,13668,-3388,-12314,-7443,2669,806860,"2"
6709,11038,13566,-3492,-12107,-7055,2882,806870,"2"
6710,11370,13576,-3722,-11576,-6734,3008,806880,"2"
6711,5844,7128,4364,2818,-4898,438,799365,"1"
6712,6204,6858,4146,4098,-3611,2035,799375,"1"
